1,Syrup - Pancake,mi nulla ac enim in tempor turpis,BICICLETAS,MALO,true,57347.63
2,Kellogs Raisan Bran Bars,nonummy integer non velit donec,ANTIGUEDADES,DEFECTUOSO,true,88019.01
3,Phyllo Dough,cursus id turpis integer aliquet massa id lobortis convallis,TELEFONÍA,MUY_USADO,true,23873.31
4,Wine - Bouchard La Vignee Pinot,semper interdum mauris ullamcorper purus sit,BICICLETAS,BUENO,true,58524.07
5,Toothpick Frilled,in faucibus orci luctus et ultrices posuere cubilia,ROPA,POCO_USO,false,85998.57
6,Dates,in ante vestibulum ante ipsum primis in faucibus,BICICLETAS,DEFECTUOSO,false,46829.56
7,Curry Paste - Madras,rutrum neque aenean auctor gravida sem praesent id massa,INFORMÁTICA,MUY_USADO,false,25384.45
8,Sprouts - Corn,posuere felis sed lacus morbi,ANTIGUEDADES,DEFECTUOSO,false,28866.27
9,Ice Cream Bar - Hageen Daz To,metus vitae ipsum aliquam non mauris morbi non lectus aliquam,BICICLETAS,PERFECTO,false,97563.06
10,"Beef - Outside Round",in lectus pellentesque at nulla,TELEFONÍA,MALO,true,4721.6
11,Anisette - Mcguiness,ultrices aliquet maecenas leo odio condimentum id,INMUEBLES,DEFECTUOSO,true,92863.92
12,Chocolate - Liqueur Cups With Foil,pede lobortis ligula sit amet eleifend pede,TELEFONÍA,BUENO,true,39198.78
13,Pasta - Angel Hair,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,INMUEBLES,BUENO,true,35873.02
14,Wine - Champagne Brut Veuve,ante ipsum primis in faucibus,COCHES,MUY_USADO,false,76943.18
15,Grapefruit - Pink,sit amet consectetuer adipiscing elit proin interdum mauris,TELEFONÍA,DEFECTUOSO,true,21525.34
16,Cocoa Powder - Natural,lorem ipsum dolor sit amet consectetuer,TELEFONÍA,BUENO,true,56084.28
17,Mountain Dew,dui vel sem sed sagittis nam,ROPA,MALO,false,59449.74
18,"Pasta - Gnocchi Potato",consectetuer adipiscing elit proin risus,MUEBLES,MUY_USADO,false,40867.63
19,Vegetable - Base,lectus suspendisse potenti in eleifend quam a odio in,ROPA,PERFECTO,false,99288.94
20,Pickles - Gherkins,justo sit amet sapien dignissim vestibulum,INMUEBLES,BUENO,false,20483.09
21,Vinegar - Rice,justo sit amet sapien dignissim vestibulum vestibulum,TELEFONÍA,POCO_USO,false,30079.91
22,Beef - Flank Steak,ut blandit non interdum in,INMUEBLES,DEFECTUOSO,true,97754.38
23,"Wine - Red Wolf Blass Yellow",amet justo morbi ut odio cras mi pede,BICICLETAS,MUY_USADO,false,63066.84
24,Pepper - Scotch Bonnet,nec condimentum neque sapien placerat,MUEBLES,POCO_USO,false,19523.66
25,Peach - Fresh,nulla suspendisse potenti cras in purus eu magna,MUEBLES,BUENO,false,95505.11
26,Bagel - Everything,accumsan tortor quis turpis sed ante,TELEFONÍA,BUENO,false,30064.89
27,Fondant - Icing,pretium iaculis diam erat fermentum justo nec condimentum neque sapien,TELEFONÍA,BUENO,false,87291.75
28,Carbonated Water - Orange,est lacinia nisi venenatis tristique fusce congue diam id ornare,TELEFONÍA,DEFECTUOSO,false,84117.71
29,The Pop Shoppe - Root Beer,ligula sit amet eleifend pede libero quis orci nullam,COCHES,BUENO,false,42806.32
30,Goldschalger,vel augue vestibulum ante ipsum primis in faucibus,COCHES,PERFECTO,true,79106.41
